sentence,target_word,context_sentence,target_level,system_id
利用する側から見ると全く複数のコンピュータが存在するように見える。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
公園で子供たちが駆け回っている姿は、一つの集団として見える。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
山の頂上から見下ろすと、街中の車の流れは無数の光点として見える。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
バランスを取るために、体の向きを変えると相手に攻撃の意図が見えてしまう。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
ピクニックにやってきた人々が芝生の上に座ると、多彩な色のピクニックシートが点在して見える。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
大勢の人が並んでいる列に加わると、先頭に行くまでの時間が長く感じられ、ゴールが見えづらくなる。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
屋上から見える風景は圧倒的に美しく、まるで絵画のようだ。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
彼の言動からは、大きな野心を持っているように見える。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
彼女の目元の力強さからは、内面に秘めた強さが見える。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
子供たちの笑顔からは、純粋な喜びが見える。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
彼の態度からは、一切の謝罪の気持ちが見えない。,見える,利用する側から見ると全く複数のコンピュータが存在するように見える。,N1,3
