sentence,target_word,context_sentence,target_level,system_id
水の色が真赤になる情報があったであります。,情報,水の色が真赤になる情報があったであります。,N1,2
彼は彼女について多くの情報を持っていた。,情報,水の色が真赤になる情報があったであります。,N1,2
その結果、彼らはお互いから多くの情報を得た。,情報,水の色が真赤になる情報があったであります。,N1,2
また、今日も雨が降るかもしれないという情報が入ってきました。,情報,水の色が真赤になる情報があったであります。,N1,2
それは確かな情報ではなかったので、人々は混乱した。,情報,水の色が真赤になる情報があったであります。,N1,2
この世界には多くの情報がある。,情報,水の色が真赤になる情報があったであります。,N1,2
彼は最新の情報を知っている。,情報,水の色が真赤になる情報があったであります。,N1,2
今、あなたはどんな情報をお探しですか？,情報,水の色が真赤になる情報があったであります。,N1,2
その情報は確かなものだろうか？,情報,水の色が真赤になる情報があったであります。,N1,2
私たちはお互いに情報を交換しなければならない。,情報,水の色が真赤になる情報があったであります。,N1,2
あなた方はどのような情報をお持ちですか？,情報,水の色が真赤になる情報があったであります。,N1,2
より多くの情報を集めることで、新しい発見や学びがあるだろう。,情報,水の色が真赤になる情報があったであります。,N1,2
何かお役に立てるような情報をご提供できるかもしれません。,情報,水の色が真赤になる情報があったであります。,N1,2
