sentence,target_word,context_sentence,target_level,system_id
技術は何によらず練習するより他に上達する道はない。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
私は新しい技術を学ぶために毎日勉強しています。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
この仕事には高度な技術が必要です。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
技術を使って問題の解決策を見つけました。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
彼は音楽の技術に長けています。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
その会社は革新的な技術を開発しています。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
私は新しい技術を学ぶために書籍を読んでいます。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
彼は優れた技術を持っているため、仕事がとても速く進められます。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
学生たちは最新の技術を使ってプレゼンテーションを行いました。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
私たちは新しい技術を開発するために研究に取り組んでいます。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
そのデザイナーはクリエイティブな技術を駆使して素晴らしいアートワークを作り出しました。,技術,技術は何によらず練習するより他に上達する道はない。,N5,3
