sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
出してくれませんか？,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
お皿に何かを出したよ。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
私たちは音楽を出すために集まっています。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
彼はお金を出すつもりだ。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
あなたは本を出すべきだ。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
お腹がすいたらご飯を出すよ。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
「私たちは今、何かを出している」,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
「彼はその問題を出した」,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
机からペンを出す。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,2,24,A
