sentence,target_word,context_sentence,target_level,system_id
加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
その国は経済制裁を受けたため、輸出入が減少しました。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
経済成長を促進するためには、国内の投資環境を改善する必要があります。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
国の経済政策は、外国への依存を減らすことが求められます。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
経済危機により、多くの企業が倒産しました。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
経済の発展は、国の繁栄に直結している。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
環境保護は経済成長とのバランスを取る必要がある。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
グローバル経済は国境を超えた取引の拡大をもたらす。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
新しい技術の導入は経済の競争力を高める重要な要素だ。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
若者の雇用率向上は経済の将来に影響を与える。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N1,3
