sentence,target_word,context_sentence,target_level,system_id
その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
彼の身長はとても大きい。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
私の体重はとても大きい。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
彼女の鼻はとても大きい。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
彼らの給料はとても大きい。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
この国の経済はとても大きい。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
「この木はとても大きい」,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
「あの店はとても大きい」,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
「それはとても大きい問題だ」,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
「彼はとても大きい男だ」,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
「彼女はとても大きい猫だった」,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
この国はとても大きい。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N5,2
