sentence,target_word,context_sentence,target_level,system_id
私は母の愛というものに就いて考える。,考える,私は母の愛というものに就いて考える。,N3,3
彼は自分の将来について真剣に考える。,考える,私は母の愛というものに就いて考える。,N3,3
私たちは新しい事業の展開について戦略を考える。,考える,私は母の愛というものに就いて考える。,N3,3
子供たちは夏休み中にどこに行くか考えている。,考える,私は母の愛というものに就いて考える。,N3,3
環境問題について解決策を考える必要がある。,考える,私は母の愛というものに就いて考える。,N3,3
試験の前にしっかりと勉強計画を考える。,考える,私は母の愛というものに就いて考える。,N3,3
彼は将来のキャリアについて真剣に考える。,考える,私は母の愛というものに就いて考える。,N3,3
私は環境問題について多くの人と議論して考える。,考える,私は母の愛というものに就いて考える。,N3,3
彼女は自分の信念に基づいて行動する前によく考える。,考える,私は母の愛というものに就いて考える。,N3,3
私たちはプロジェクトの成功に向けて新しい戦略を考える必要がある。,考える,私は母の愛というものに就いて考える。,N3,3
社会的な問題に対して包括的な解決策を考えることが重要だ。,考える,私は母の愛というものに就いて考える。,N3,3
