sentence,target_word,context_sentence,target_level,system_id
本人の意思が強ければ止められるわ。,強い,本人の意思が強ければ止められるわ。,N3,2
彼女は意志が強いので、何事も自分で決めたがる。,強い,本人の意思が強ければ止められるわ。,N3,2
彼は意志が強いので、私にはとても厳しい。,強い,本人の意思が強ければ止められるわ。,N3,2
この仕事を続けるためには、もっと意志が強くならなければならない。,強い,本人の意思が強ければ止められるわ。,N3,2
どんなことにもくじけないような強い意志を持ってほしい。,強い,本人の意思が強ければ止められるわ。,N3,2
その人の意志の強さに驚かされた。,強い,本人の意思が強ければ止められるわ。,N3,2
この仕事を強くやり遂げたいと思っています。,強い,本人の意思が強ければ止められるわ。,N3,2
彼女は意志が強く、何でも自分でやってしまう。,強い,本人の意思が強ければ止められるわ。,N3,2
その人の意志が強ければ、それを成し遂げることができる。,強い,本人の意思が強ければ止められるわ。,N3,2
彼は自分の意志が強く、人を説得することができる。,強い,本人の意思が強ければ止められるわ。,N3,2
彼女はその決断力と行動力で周囲に強い印象を与えた。,強い,本人の意思が強ければ止められるわ。,N3,2
私たちは何事にも負けない強い気持ちを持っていた。,強い,本人の意思が強ければ止められるわ。,N3,2
あのチームは個々の選手の能力も高いが、団結力も強い。,強い,本人の意思が強ければ止められるわ。,N3,2
彼らは困難な状況でも諦めず、最後までやり遂げる強い意志を持っている。,強い,本人の意思が強ければ止められるわ。,N3,2
彼女は意志が強いから、彼に自分の気持ちを伝えることができた。,強い,本人の意思が強ければ止められるわ。,N3,2
あの人は意志が強いので、何でも一人でやってしまう。,強い,本人の意思が強ければ止められるわ。,N3,2
私たちはみんな意志が強いと思う。,強い,本人の意思が強ければ止められるわ。,N3,2
あなたも意志が強い方だと思います。,強い,本人の意思が強ければ止められるわ。,N3,2
彼らは皆意志が強いようだ。,強い,本人の意思が強ければ止められるわ。,N3,2
彼女はとても強い意志を持っている。,強い,本人の意思が強ければ止められるわ。,N3,2
彼は自分の意見を強く主張する。,強い,本人の意思が強ければ止められるわ。,N3,2
あの男は非常に強い人である。,強い,本人の意思が強ければ止められるわ。,N3,2
