sentence,target_word,context_sentence,target_level,system_id
その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
トラック運転手は、毎日長時間運転し続けることで、経験を積んでいく。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
彼女は大学卒業後、外国での仕事に挑戦し、語学力を積んでいる。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
長年のボランティア活動を通じて、彼は人間性を豊かに積んできた。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
オフィスでの仕事で、彼はチームワークやコミュニケーション力を積んでいる。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
異文化間の交流プログラムに参加して、彼は国際的な経験を積んでいる。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
彼は新しい職場で様々なスキルと知識を積んでいく。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
長年の努力と経験を積んだ彼は、リーダーシップを発揮する能力を持っている。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
私たちは仲間と協力して、プロジェクトの成功に向けて経験を積んでいく。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
学生たちは実際の場面での訓練を通じて、実践的なスキルを積むことができる。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
彼は若者向けのプログラムに参加して、社会貢献活動の経験を積んでいく。,積む,その後プロに転向すると、地元大阪を中心に大会へ出場し経験を積む。,N1,3
