sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
汚い服を着て公園で遊んでいる子供たちがいます。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
あの汚い川では魚を釣ることはできません。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
部屋がとても汚くて片付けなくてはいけません。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
私の隣に座る人は、汚い話をする癖があります。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
町の中心に位置する汚い建物は、リノベーションが必要です。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
駅前の公衆トイレはとても汚いです。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
友達の部屋に行くと、汚い靴下が散乱していました。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
彼の言葉は心の中を汚い感情で満たしました。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
この川の水は汚いので、泳ぐのは危険です。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
あの汚い壁に落書きをするなんて、とても失礼です。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N5,3,29,A
