target_word,context_sentence,target_level,block_id,sys_id,diversity_human,rank_human,sentence,level_human,sense_human,reject,ann_id
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,1,Medium,3rd,東京と大阪はライバル同士であるため、それぞれの地域では互いに相手を非難するプロパガンダ放送を流し合っていた。,N2,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,1,Medium,3rd,これまでずっと、両国間では互いに相手を非難するプロパガンダ放送を流し合ってきた。,N2,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,1,Medium,3rd,彼と彼女の関係がうまくいかないときは、私たちは常に相手を責める。,rejected,rejected,TRUE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,1,Medium,3rd,だから、彼らは互いに相手を非難するプロパガンダ放送を流し合っていた。,N2,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,1,Medium,3rd,私たちは互いに相手を尊重し合わなければならない。,N4,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,2,High,1st,外交経験が無い素人2人組の外交は半年が空費され、相手から一方的に条件を呑まされる寸前になり失敗に終わった。,N1,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,2,High,1st,ドイツの戦略爆撃機とイギリス、アメリカの戦略爆撃機の合計の多い国家が少ない国家（ドイツ又はイギリス）を攻撃することになり、相手国家の工業力を低下させる。,N1,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,2,High,1st,これはその言葉を発した側が、その発言を持って相手を貶めようとしているためである。,N2,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,2,High,1st,カトコフの主張は、一般的に穏健なものではあったが、ひとたびや筆を執るや否や、痛烈に相手を批判せずにはいられなかった。,N1,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,2,High,1st,また、両派ともに相手の絶滅を主張し、小型の出刃包丁やハンマーなどを使用した襲撃を続けたため逮捕者や離脱者が多数出て、組織の維持すら危うくなった。,N1,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,3,High,2nd,彼は相手の発言に敏感に反応し、即座に的を得た反論を返した。,N3,Similar,FALSE,human_native_1
