sentence,target_word,context_sentence,target_level,system_id
クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
その塔は青く光り、不思議な力を持っているという噂があった。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
彼女は青くて長い髪を持っていた。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
彼女はとてもきれいな青い目をしている。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
日本では夏の間、空や海が青く見えることから「夏」という季節を表す言葉としても使われている。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
青く,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
私にはまだ青く見える湖もある。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
彼はこの世で一番青い鳥だった。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
青く光るものといえば、サファイアだ。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
私たちはどこまでも続く青い海で泳ぐことができる。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N1,2
