sentence,target_word,context_sentence,target_level,system_id
私は母の愛というものに就いて考える。,考える,私は母の愛というものに就いて考える。,N3,2
お母さんが子供を愛しているかどうか、僕は考えなければならない。,考える,私は母の愛というものに就いて考える。,N3,2
あなたはこの仕事で成功するためには何を考えなければならないのでしょうか？,考える,私は母の愛というものに就いて考える。,N3,2
もし彼がそのようなことを考えたとしたら、それは間違っている！,考える,私は母の愛というものに就いて考える。,N3,2
彼女は今まで生きてきた人生についてよく考えている。,考える,私は母の愛というものに就いて考える。,N3,2
君たちは自分自身についてどのように考えているんだい？,考える,私は母の愛というものに就いて考える。,N3,2
考えなさい、と彼女は言った。,考える,私は母の愛というものに就いて考える。,N3,2
彼は自分の仕事についてよく考える。,考える,私は母の愛というものに就いて考える。,N3,2
僕は今何をしなければならないかをよく考える。,考える,私は母の愛というものに就いて考える。,N3,2
彼らはその計画についてよく考える。,考える,私は母の愛というものに就いて考える。,N3,2
あなたはこのことについてよく考えるべきだ。,考える,私は母の愛というものに就いて考える。,N3,2
あなたがこの問題を解決するために必要なことは何か、しっかりと考えなさい。,考える,私は母の愛というものに就いて考える。,N3,2
彼は自分の将来について真剣に考えている。,考える,私は母の愛というものに就いて考える。,N3,2
僕は、自分が作ったロボットを考えている。,考える,私は母の愛というものに就いて考える。,N3,2
彼は、将来についていろいろと考えている。,考える,私は母の愛というものに就いて考える。,N3,2
彼らは、これからの社会で生きていくためにはどうしたらいいかを考えている。,考える,私は母の愛というものに就いて考える。,N3,2
あなたは、人生において何を優先するべきかを考えなければならない。,考える,私は母の愛というものに就いて考える。,N3,2
この国が戦争に巻き込まれないためにはどうしたらいいのか、よく考えなくてはならない。,考える,私は母の愛というものに就いて考える。,N3,2
彼は何をすれば成功するのか、よく考えなければならない。,考える,私は母の愛というものに就いて考える。,N3,2
彼女は今どこにいるのか、よく考えなければならない。,考える,私は母の愛というものに就いて考える。,N3,2
だから、よく考えてみようと思う。,考える,私は母の愛というものに就いて考える。,N3,2
自分の夢や目標についてよく考えましょう。,考える,私は母の愛というものに就いて考える。,N3,2
