sentence,target_word,context_sentence,target_level,system_id
あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
彼の言葉は私たちの関係に対して深い影響を与えた。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
その出来事が私たちの仲に大きな関係をもたらした。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
彼女の存在は私たちの関係をより強固にした。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
彼の行動は私たちの関係に対して深刻なダメージを与えた。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
そんな些細なことは私たちの関係に何の関係もない。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
関係なく、彼は私の努力をみてくれている。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
彼に対する私たちの関係は日に日に深まっている。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
彼らの関係は時間の経過とともに壊れていった。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
関係の修復を試みるために、彼女は謝罪の手紙を書いた。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
彼女と私の関係は、互いの理解と尊重に基づいている。,関係,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,N1,3
