sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
一番早く人口が20万人に到達した都市であったと思われる。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
彼はいつも決断が早くて助かる。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
東京は日本を代表する大都市であり、最も早く人口が20万人に到達した都市であったと思われる。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
一日でも早くこの問題を解決するために、政府はあらゆる努力を傾けなければならない。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
「私はいつも、物事を始めるのがとても早いです。」,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
今日は暑いので、朝の散歩はとても早かった。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
電車やバスを使うよりも車で行った方が早い。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
朝、目が覚めるのはとても早いです。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
彼は仕事が終わるのがとても早い。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
この本は私たちよりもずっと早く読み終えてしまった。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
あの映画はストーリーがとても早く進む。,早い,一番早く人口が20万人に到達した都市であったと思われる。,N5,2,26,E
