sentence,target_word,context_sentence,target_level,system_id
空からはちらほらと、たゆたいながら雪が落ち始める。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
自分の夢を追い始める勇気を持っています。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
彼は新しいビジネスを始めるための投資を考えています。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
学校で新しいクラブ活動を始めました。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
私は今日から新しいダイエットを始めます。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
レストランで新しいアルバイトを始める予定です。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
明日から日本語の勉強を始めます。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
結婚式の準備を始める前に、招待状を送ります。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
新しいプロジェクトに取り組むための準備を始める必要があります。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
新しい趣味を始めるために必要な道具を揃える予定です。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N5,3
