sentence,target_word,context_sentence,target_level,system_id
囚人虐待事件への対応などの影響から退任を求める声が出始めた。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
学生たちは、教育の質の向上を求める運動を展開している。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
企業は、環境保護への積極的な取り組みを求められている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
私たちは、公正な社会を求めるために行動しなければならない。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
政府は、市民の安全を最優先に考える姿勢が求められている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
みんなが平等な権利を享受できる社会を求めて闘い続ける。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
彼は自己啓発を求めるために、毎日図書館で勉強している。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
会社は新たなリーダーシップを求めるため、内外から有能な人材を採用している。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
経営者は従業員の意見を求めるため、定期的なアンケート調査を行っている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
私たちは環境保護を求めるために、リサイクル活動に積極的に参加している。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
学生たちはより高い学習レベルを求めるため、受験勉強に励んでいる。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,3
