sentence,target_word,context_sentence,target_level,system_id
この四月以来市場には、前代未聞だと云う恐慌が来ている。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
世界最大の債券市場はロンドン証券取引所である。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
今の経済状況を表す言葉として「市場」という言葉は適切ではない。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
月以降、市場には前代未聞の恐慌が訪れている。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
株式市場や商品市場など、様々な市場が開かれている。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
月以降、市場に前代未聞の恐慌が訪れている。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
経済活動を活性化させるためにも、市場は常に重要な役割を果たしている。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
日本においても、様々な商品やサービスを提供する場として、市場は欠かせない存在である。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
今後とも、世界的な金融危機などにより景気が低迷するようなことがあれば、市場にとって大きな影響を与えかねない。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
政府による規制によって、市場における競争が制限される可能性もあり、その場合消費者への悪影響が危惧される。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
世界経済に大きな影響力を持つ中国の上海市場,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N1,2
