sentence,target_word,context_sentence,target_level,system_id
這入りこんで現場を見届けてやろう。,現場,這入りこんで現場を見届けてやろう。,N3,2
この問題の解決策は現場に行ってみることだ。,現場,這入りこんで現場を見届けてやろう。,N3,2
彼はその仕事が好きではなかったので、それをやる代わりに現場に行った。,現場,這入りこんで現場を見届けてやろう。,N3,2
彼女は学校から家に帰る途中、事故に遭いそうになったので、急いで現場に向かった。,現場,這入りこんで現場を見届けてやろう。,N3,2
私たちは今、自分たちの国の政治について議論しているところだが、もし誰かが本当に権力を握っているなら、彼らもまた現場に行くはずだ。,現場,這入りこんで現場を見届けてやろう。,N3,2
「ここが現場だ！」,現場,這入りこんで現場を見届けてやろう。,N3,2
今、まさに私がその現場にいるんだ。,現場,這入りこんで現場を見届けてやろう。,N3,2
「この事件の真相に迫るため、私は現場に足を運んだ」,現場,這入りこんで現場を見届けてやろう。,N3,2
まるで「現場」から逃げたかのようだった。,現場,這入りこんで現場を見届けてやろう。,N3,2
というのも、彼女は明らかに「現場」ではなかったからだ。,現場,這入りこんで現場を見届けてやろう。,N3,2
彼らは今まさに「現場」にいるんだ。,現場,這入りこんで現場を見届けてやろう。,N3,2
