sentence,target_word,context_sentence,target_level,system_id
その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
そのビルはとても大きいです。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
彼は大きい声で歌っています。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
長距離バスには大きい窓があります。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
彼の夢は大きい成功を収めることです。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
大きい希望をもって新しいスタートを切りました。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
．彼は大きいスーツケースを持っています。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
．町の中心には大きい公園があります。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
．私たちの家には大きい庭があります。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
．彼女は大きい帽子をかぶっています。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
．大きいプレゼントをもらって喜んでいます。,大きい,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,N3,3
