sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
小説家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
彼は私にとても親切だったけど、まだ全然好きになれないわ。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
彼女はいつも何でもできるような気がしているみたいだけど、実際には全然できないんだ。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
この仕事はとても大変で、毎日残業しても全然終わらない。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
今日は全然仕事に身が入らなかった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
彼は全然話さない。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
彼女は全然勉強しない。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
あなたは全然だめだ！,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
"全然"". 4.)",全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,2,10,A
