sentence,target_word,context_sentence,target_level,system_id
学校の外では「広場の王様」とあだ名されたという。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
彼は外で遊ぶことが大好きで、いつも公園で友達と遊んでいます。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
雨が降っていたので、私たちは外に出るのをやめて、家でゲームをしました。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
外の世界は広大で未知のものだと思っている。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
彼は外の仕事に就くことを夢見ている。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
彼は外での仕事に慣れていて、風雨にも動じない。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
雪の降る中、彼女は外でランニングをしていた。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
私たちは外でピクニックを楽しみました。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
彼は外で友達と遊んでいる間に怪我をしました。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
駅の外で、彼を待ち合わせました。,外,学校の外では「広場の王様」とあだ名されたという。,N1,3
