sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
彼とは趣味が合うので、よく一緒に遊びます。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
食べ物と好みが合わない友人と一緒に食事するのは難しい。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
話し合いの結果、意見が合ったのでプロジェクトを進めることになった。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
二人の考え方が全く合わず、意見の対立が生じた。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
彼との意見が合わなくて、議論が続いている。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
このデザインは私の好みに合っています。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
外国の友達とは言葉が合わなくても、楽しく過ごせます。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
彼女とは性格や趣味が合うので、とても気が合います。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
新しい仲間とは一緒に作業するのがとてもスムーズに合います。,合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N3,3,12,A
