sentence,target_word,context_sentence,target_level,system_id
自分の将来の目的に向かってバリバリ勉強していた。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
バリバリ働きながら、新しいビジネスモデルを考えています。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
彼はバリバリのエンジニアで、プログラミングに夢中です。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
バリバリ練習したおかげで、音楽のコンテストで優勝しました。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
試験前にバリバリ勉強すれば、合格できる自信があります。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
プロジェクトを成功させるために、バリバリのリーダーシップが必要です。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
彼女はバリバリとピアノを弾く姿が格好いい。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
バリバリと仕事をこなす彼に憧れを抱いている。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
彼はバリバリとプログラミングを学び、優れたエンジニアになった。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
バリバリとスポーツに取り組んでいる彼は、体力も抜群だ。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
彼のバリバリとしたデザインスキルには、誰もが驚く。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,3
