sentence,target_word,context_sentence,target_level,system_id
英吉利語を教える報酬は僅かに月額六十円である。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
私は英語を教えることができる。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
彼は日本語を教えることができる。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
彼女はフランス語を教えることができる。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
彼らはスペイン語を教えることができる。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
英語を教えることができる人がいれば、その人から教えてもらいたいと思うだろう。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
日本の文化について日本語を教えることができる先生もいる。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
私はこの仕事を通して、生徒たちに数学を教えることができるようになりたいです。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
「英語を教える」という仕事の報酬は、月額60円程度です。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
日本語を教えますか？,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
英語を教えますか？,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
数学を教えますか？,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
歴史を教えますか？,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
音楽を教えますか？,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
"+ Examples of ""教える",教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
「私は英語を教えています」,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
「あなたは日本語を教えてください」,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
「彼は数学を教えている」,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
「彼女はフランス語を教えている」,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
「君は中国語を教えてくれるかい？,教える,英吉利語を教える報酬は僅かに月額六十円である。,N5,2
