sentence,target_word,context_sentence,target_level,system_id
成東の停車場をおりて、町形をした家並みを出る。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
彼は突然会議室から出て行った。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
今日はたくさんの応募者が面接を受けるために、会場に出てきました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
雨がやんだので、子供たちは外に出て遊び始めました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
駅で乗客が次々と電車から出て行く様子が見えました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
大雪の中、山小屋から出て、凍えるような風に立ち向かいました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
クラブ活動が終わり、部室を出て、友達と一緒にランチに行きました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
彼は緊急の連絡があり、会議室を出て、即座に対応しました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
バスケの試合が終わり、選手たちは喜びに満ちた笑顔でコートを出ました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
旅行が終わり、海を背にしてホテルを出て、帰路につきました。,出る,成東の停車場をおりて、町形をした家並みを出る。,N1,3
