sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
俺はそこで二時間ほど調べられた。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
私たちはこの町ではあまり時間がなかったので、その日の観光はほとんどできなかった。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
彼女は待ち合わせ場所には遅れてしまったが、それでもなんとか約束の時間に間に合った。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
あの子と話していたら、あっという間に一時間が過ぎてしまった。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
僕はその時、2時間も待たされた。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
私はその場所で一時間半ほど過ごした。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
彼女はあの店で4時間も待たされた。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
私はここで一時間も待ったことがある。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
彼はその場所に三時間いた。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
私たちはその店に三時間いた。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
もう六時間も見ているのにまだ終わらない。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
あなたがここに来てから五時間経つけど、まだ見つからないわ。,時間,俺はそこで二時間ほど調べられた。,N5,2,23,A
