sentence,target_word,context_sentence,target_level,system_id
遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
．彼はハンドバッグに手を入れて、財布を取り出した。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
．部屋に入れる前に、靴を脱ぎましょう。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
．彼女はコーヒーに砂糖を入れる習慣があります。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
．私は新しいノートパソコンをカバンに入れて、出かけました。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
．テレビの電源を入れると、映像が表示されました。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
私はお金を貯めるために毎月少しずつ口座に入れる。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
ハイキングに行くときは必ず水と食べ物をバックパックに入れる。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
レストランのメニューを見ると、美味しそうな料理を注文する前に一度考え入れる。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
電車に乗る前には必ず自分の荷物をロッカーに入れることを忘れないようにしている。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N1,3
