sentence,target_word,context_sentence,target_level,system_id
この四月以来市場には、前代未聞だと云う恐慌が来ている。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
彼は市場で新鮮な魚を買いました。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
昨日の市場では、新作の野菜がたくさん売られていました。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
市場にはいろいろな商品が並べられています。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
この地域の市場は賑やかで、たくさんの人々が訪れます。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
市場での値段交渉は、楽しい買い物の一環です。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
今日は市場で新鮮な野菜を買いました。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
私の父は市場で魚を売っています。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
日本の市場は競争が激しいです。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
市場には多種多様な商品があります。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
私は市場でお土産を買いたいです。,市場,この四月以来市場には、前代未聞だと云う恐慌が来ている。,N5,3
