sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
彼は常に自信を持って行動します。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
学生たちはプロジェクトの責任を持ちます。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
私は多忙なスケジュールを持っています。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
彼は高い目標を持ち続けています。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
彼は常に自信を持って行動する。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
私は忍耐力を持ってこの試練に立ち向かいます。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
彼女は信念を持って自分の夢を追い求めます。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
子供たちは無邪気な笑顔を持って遊びます。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
私は新しいプロジェクトに向けて情熱を持って取り組んでいます。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N3,3,18,E
