sentence,target_word,context_sentence,target_level,system_id
味噌を食事の一部にすることは非常に良いと考えられている。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
彼は良い発想を持っていて、そのアイデアはプロジェクトに大いに貢献している。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
私たちは良い友人たちと一緒にハイキングに出かけました。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
このレストランのサービスはいつも良く、味も素晴らしいです。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
彼女は良い選手であり、チームにとって欠かせない存在です。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
休暇中に良い本を読んで、リラックスする時間を過ごしました。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
彼女のアドバイスはいつも的確で、私たちのビジネスにとって非常に良い影響を与えています。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
家族との時間を大切にすることは、人生において最も良い投資だと考えています。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
睡眠を十分にとることは、健康のために非常に良い影響を与えます。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
これからのキャリアにとって、新しいスキルを習得することはとても良いチャンスです。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
環境を保護するために、再利用とリサイクルを積極的に取り組むことは、良い貢献です。,良い,味噌を食事の一部にすることは非常に良いと考えられている。,N1,3
