sentence,target_word,context_sentence,target_level,system_id
一人のこらず死んだような場所もあります。,場所,一人のこらず死んだような場所もあります。,N1,2
この町には、人が死に絶えたような場所がたくさんある。,場所,一人のこらず死んだような場所もあります。,N1,2
彼は私が今まで見た中で最も美しい場所に住んでいる。,場所,一人のこらず死んだような場所もあります。,N1,2
彼女はその日一日を、この上なく楽しい場所で過ごした。,場所,一人のこらず死んだような場所もあります。,N1,2
ここはとても賑やかな場所だが、同時に静かな場所でもある。,場所,一人のこらず死んだような場所もあります。,N1,2
これは本当に素晴らしい場所だ！,場所,一人のこらず死んだような場所もあります。,N1,2
この場所ではみんなリラックスして楽しんでいるようです。,場所,一人のこらず死んだような場所もあります。,N1,2
その場所でしか味わえない空気感や雰囲気がある。,場所,一人のこらず死んだような場所もあります。,N1,2
この場所ではいつも笑顔でいたい。,場所,一人のこらず死んだような場所もあります。,N1,2
あなたにとって大切な場所はどこですか？,場所,一人のこらず死んだような場所もあります。,N1,2
あなたが私を見つけた場所はどこですか？,場所,一人のこらず死んだような場所もあります。,N1,2
その場所に行くことだけが目的だった。,場所,一人のこらず死んだような場所もあります。,N1,2
