sentence,target_word,context_sentence,target_level,system_id
一間は這入って来た人に冷やかな、不愉快な印象を与える。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
小さな言葉でも、時には大きな影響を与えることもあります。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
私たちは自然環境に対して責任を持ち、将来の世代に綺麗な地球を与えるべきです。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
社会的な立場や権力は人々に強い影響を与えることがあります。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
好意的な態度は周りの人々に心地良い印象を与えることがあります。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
謙虚な態度で人々に対して敬意を示すと、信頼感を与えることができます。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
彼の言動は周囲に混乱と不安を与えた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
最新の研究結果は大きな影響を与える可能性がある。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
その映画は心の奥底に感動を与えるストーリーを持っている。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
社会的な立場が高い人からの批判は大きなプレッシャーを与える。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
スポーツ活動は健康に良い影響を与えることが証明されている。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N1,3
