sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
レストランで美味しい料理を出しています。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
朝、バス停でバスを待っている人がたくさん出す。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
彼は勇気を出してスピーチを始めた。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
明日の朝早く家を出して、友達とランチに行く予定です。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
毎晩、星がきれいに輝いて出しています。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
彼は毎朝早く起きて、散歩に出す。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
私は昨日のパーティーでたくさん笑って声を出した。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
学生たちはテストの前に一生懸命勉強して出す。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
天気予報によると、明日は雨が出す可能性があるそうだ。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
友達と一緒に映画を見に行って、涙を出すこともあった。,出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N5,3,24,E
